General Data,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,
Date and Time of Run,,,,,,,,,,,,,,,
Purpose (<10 words),,,,,,,,,,,,,,,
Circuit Information,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Instructions,,,,,,,,,,,,,,,
See Accompanying JoVE Video Protocol and PDF  (Sun Z. et al. J. Vis. Exp. 2013),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Master Mix Preparation,,,,,,,,,,Magic Numbers,,,,,
Ingredient,Stock*,Final*,Per Rxn (uL),Master Mix (uL),other sheet,,,# Rxns,,Rxn Volume,Rxns Per Aliquot,MM Excess,,,
eSC3 Buffer,1,0.42,4.20,32.34,35.63,,,7,,10,7.00,1.10,,,
eSC3 Extract,1,0.33,3.30,25.41,28.5,,,,,,,,,,
(),,,,,,,,Tubes to Thaw,,,,,,,
(),,,,,,,eSC3 Buffer,1,,,,,,,
(),,,,,,,eSC3 Extract,1,,,,,,,
(),,,,,,, +1 (unlabeled 0.2mL tube),#REF!,,,,,,,
,*Input as ratio,,,,,,,,,,,,,,
DNA Recipies,,,,,,,,,,,,,,,
ID,Plate Loc.,Name,Water (uL),MM to add (uL),Positive Control,Negative Control,7-psigmaX-deGFP,13-pLac-LacO-sigmaX,1:2 #13,(DNA 6),(DNA7),(DNA 8),(DNA 9),(DNA 10),Total DNA (uL)
110,,,,0.00,,,,,,,,,,,0.00
111,,,,0.00,,,,,,,,,,,0.00
112,,,,0.00,,,,,,,,,,,0.00
113,,,,0.00,,,,,,,,,,,0.00
114,,,,0.00,,,,,,,,,,,0.00
115,,,,0.00,,,,,,,,,,,0.00
116,,,,0.00,,,,,,,,,,,0.00
117,,,,0.00,,,,,,,,,,,0.00
118,,,,0.00,,,,,,,,,,,0.00
119,,,,0.00,,,,,,,,,,,0.00
120,,,,0.00,,,,,,,,,,,0.00
121,,,,0.00,,,,,,,,,,,0.00
122,,,,0.00,,,,,,,,,,,0.00
123,,,,0.00,,,,,,,,,,,0.00
124,,,,0.00,,,,,,,,,,,0.00
125,,,,0.00,,,,,,,,,,,0.00
126,,,,0.00,,,,,,,,,,,0.00
127,,,,0.00,,,,,,,,,,,0.00
128,,,,0.00,,,,,,,,,,,0.00
129,,,,0.00,,,,,,,,,,,0.00
130,,,,0.00,,,,,,,,,,,0.00
131,,,,0.00,,,,,,,,,,,0.00
132,,,,0.00,,,,,,,,,,,0.00
133,,,,0.00,,,,,,,,,,,0.00
134,,,,0.00,,,,,,,,,,,0.00
135,,,,0.00,,,,,,,,,,,0.00
136,,,,0.00,,,,,,,,,,,0.00
137,,,,0.00,,,,,,,,,,,0.00
138,,,,0.00,,,,,,,,,,,0.00
139,,,,0.00,,,,,,,,,,,0.00
140,,,,0.00,,,,,,,,,,,0.00
141,,,,0.00,,,,,,,,,,,0.00
142,,,,0.00,,,,,,,,,,,0.00
143,,,,0.00,,,,,,,,,,,0.00
144,,,,0.00,,,,,,,,,,,0.00
145,,,,0.00,,,,,,,,,,,0.00
146,,,,0.00,,,,,,,,,,,0.00
147,,,,0.00,,,,,,,,,,,0.00
148,,,,0.00,,,,,,,,,,,0.00
149,,,,0.00,,,,,,,,,,,0.00
150,,,,0.00,,,,,,,,,,,0.00
151,,,,0.00,,,,,,,,,,,0.00
152,,,,0.00,,,,,,,,,,,0.00
153,,,,0.00,,,,,,,,,,,0.00
154,,,,0.00,,,,,,,,,,,0.00
155,,,,0.00,,,,,,,,,,,0.00
156,,,,0.00,,,,,,,,,,,0.00
157,,,,0.00,,,,,,,,,,,0.00
158,,,,0.00,,,,,,,,,,,0.00
159,,,,0.00,,,,,,,,,,,0.00
160,,,,0.00,,,,,,,,,,,0.00
161,,,,0.00,,,,,,,,,,,0.00
162,,,,0.00,,,,,,,,,,,0.00
163,,,,0.00,,,,,,,,,,,0.00
164,,,,0.00,,,,,,,,,,,0.00
165,,,,0.00,,,,,,,,,,,0.00
166,,,,0.00,,,,,,,,,,,0.00
167,,,,0.00,,,,,,,,,,,0.00
168,,,,0.00,,,,,,,,,,,0.00
169,,,,0.00,,,,,,,,,,,0.00
170,,,,0.00,,,,,,,,,,,0.00
171,,,,0.00,,,,,,,,,,,0.00
172,,,,0.00,,,,,,,,,,,0.00
173,,,,0.00,,,,,,,,,,,0.00
174,,,,0.00,,,,,,,,,,,0.00
175,,,,0.00,,,,,,,,,,,0.00
176,,,,0.00,,,,,,,,,,,0.00
177,,,,0.00,,,,,,,,,,,0.00
178,,,,0.00,,,,,,,,,,,0.00
179,,,,0.00,,,,,,,,,,,0.00
180,,,,0.00,,,,,,,,,,,0.00
181,,,,0.00,,,,,,,,,,,0.00
182,,,,0.00,,,,,,,,,,,0.00
183,,,,0.00,,,,,,,,,,,0.00
184,,,,0.00,,,,,,,,,,,0.00
185,,,,0.00,,,,,,,,,,,0.00
186,,,,0.00,,,,,,,,,,,0.00
187,,,,0.00,,,,,,,,,,,0.00
188,,,,0.00,,,,,,,,,,,0.00
189,,,,0.00,,,,,,,,,,,0.00
190,,,,0.00,,,,,,,,,,,0.00
191,,,,0.00,,,,,,,,,,,0.00
192,,,,0.00,,,,,,,,,,,0.00
193,,,,0.00,,,,,,,,,,,0.00
194,,,,0.00,,,,,,,,,,,0.00
195,,,,0.00,,,,,,,,,,,0.00
196,,,,0.00,,,,,,,,,,,0.00
197,,,,0.00,,,,,,,,,,,0.00
198,,,,0.00,,,,,,,,,,,0.00
199,,,,0.00,,,,,,,,,,,0.00
200,,,,0.00,,,,,,,,,,,0.00
201,,,,0.00,,,,,,,,,,,0.00
202,,,,0.00,,,,,,,,,,,0.00
203,,,,0.00,,,,,,,,,,,0.00
204,,,,0.00,,,,,,,,,,,0.00
205,,,,0.00,,,,,,,,,,,0.00
206,,,,0.00,,,,,,,,,,,0.00
207,,,,0.00,,,,,,,,,,,0.00
208,,,,0.00,,,,,,,,,,,0.00
209,,,,0.00,,,,,,,,,,,0.00
210,,,,0.00,,,,,,,,,,,0.00
211,,,,0.00,,,,,,,,,,,0.00
212,,,,0.00,,,,,,,,,,,0.00
213,,,,0.00,,,,,,,,,,,0.00
214,,,,0.00,,,,,,,,,,,0.00
215,,,,0.00,,,,,,,,,,,0.00
216,,,,0.00,,,,,,,,,,,0.00
217,,,,0.00,,,,,,,,,,,0.00
218,,,,0.00,,,,,,,,,,,0.00
219,,,,0.00,,,,,,,,,,,0.00
220,,,,0.00,,,,,,,,,,,0.00
221,,,,0.00,,,,,,,,,,,0.00
222,,,,0.00,,,,,,,,,,,0.00
223,,,,0.00,,,,,,,,,,,0.00
224,,,,0.00,,,,,,,,,,,0.00
225,,,,0.00,,,,,,,,,,,0.00
226,,,,0.00,,,,,,,,,,,0.00
227,,,,0.00,,,,,,,,,,,0.00
228,,,,0.00,,,,,,,,,,,0.00
229,,,,0.00,,,,,,,,,,,0.00
230,,,,0.00,,,,,,,,,,,0.00
231,,,,0.00,,,,,,,,,,,0.00
232,,,,0.00,,,,,,,,,,,0.00
233,,,,0.00,,,,,,,,,,,0.00
234,,,,0.00,,,,,,,,,,,0.00
235,,,,0.00,,,,,,,,,,,0.00
236,,,,0.00,,,,,,,,,,,0.00
237,,,,0.00,,,,,,,,,,,0.00
238,,,,0.00,,,,,,,,,,,0.00
239,,,,0.00,,,,,,,,,,,0.00
240,,,,0.00,,,,,,,,,,,0.00
241,,,,0.00,,,,,,,,,,,0.00
242,,,,0.00,,,,,,,,,,,0.00
243,,,,0.00,,,,,,,,,,,0.00
244,,,,0.00,,,,,,,,,,,0.00
245,,,,0.00,,,,,,,,,,,0.00
246,,,,0.00,,,,,,,,,,,0.00
247,,,,0.00,,,,,,,,,,,0.00
248,,,,0.00,,,,,,,,,,,0.00
249,,,,0.00,,,,,,,,,,,0.00
250,,,,0.00,,,,,,,,,,,0.00
251,,,,0.00,,,,,,,,,,,0.00
252,,,,0.00,,,,,,,,,,,0.00
253,,,,0.00,,,,,,,,,,,0.00
254,,,,0.00,,,,,,,,,,,0.00
255,,,,0.00,,,,,,,,,,,0.00
256,,,,0.00,,,,,,,,,,,0.00
257,,,,0.00,,,,,,,,,,,0.00
258,,,,0.00,,,,,,,,,,,0.00
259,,,,0.00,,,,,,,,,,,0.00
260,,,,0.00,,,,,,,,,,,0.00
261,,,,0.00,,,,,,,,,,,0.00
262,,,,0.00,,,,,,,,,,,0.00
263,,,,0.00,,,,,,,,,,,0.00
264,,,,0.00,,,,,,,,,,,0.00
265,,,,0.00,,,,,,,,,,,0.00
266,,,,0.00,,,,,,,,,,,0.00
267,,,,0.00,,,,,,,,,,,0.00
268,,,,0.00,,,,,,,,,,,0.00
269,,,,0.00,,,,,,,,,,,0.00
270,,,,0.00,,,,,,,,,,,0.00
271,,,,0.00,,,,,,,,,,,0.00
272,,,,0.00,,,,,,,,,,,0.00
273,,,,0.00,,,,,,,,,,,0.00
274,,,,0.00,,,,,,,,,,,0.00
275,,,,0.00,,,,,,,,,,,0.00
276,,,,0.00,,,,,,,,,,,0.00
277,,,,0.00,,,,,,,,,,,0.00
278,,,,0.00,,,,,,,,,,,0.00
279,,,,0.00,,,,,,,,,,,0.00
280,,,,0.00,,,,,,,,,,,0.00
281,,,,0.00,,,,,,,,,,,0.00
282,,,,0.00,,,,,,,,,,,0.00
283,,,,0.00,,,,,,,,,,,0.00
284,,,,0.00,,,,,,,,,,,0.00
285,,,,0.00,,,,,,,,,,,0.00
286,,,,0.00,,,,,,,,,,,0.00
287,,,,0.00,,,,,,,,,,,0.00
288,,,,0.00,,,,,,,,,,,0.00
289,,,,0.00,,,,,,,,,,,0.00
290,,,,0.00,,,,,,,,,,,0.00
291,,,,0.00,,,,,,,,,,,0.00
292,,,,0.00,,,,,,,,,,,0.00
293,,,,0.00,,,,,,,,,,,0.00
294,,,,0.00,,,,,,,,,,,0.00
295,,,,0.00,,,,,,,,,,,0.00
296,,,,0.00,,,,,,,,,,,0.00
297,,,,0.00,,,,,,,,,,,0.00
298,,,,0.00,,,,,,,,,,,0.00
299,,,,0.00,,,,,,,,,,,0.00
300,,,,0.00,,,,,,,,,,,0.00
301,,,,0.00,,,,,,,,,,,0.00
302,,,,0.00,,,,,,,,,,,0.00
303,,,,0.00,,,,,,,,,,,0.00
304,,,,0.00,,,,,,,,,,,0.00
305,,,,0.00,,,,,,,,,,,0.00
306,,,,0.00,,,,,,,,,,,0.00
307,,,,0.00,,,,,,,,,,,0.00
308,,,,0.00,,,,,,,,,,,0.00
309,,,,0.00,,,,,,,,,,,0.00
310,,,,0.00,,,,,,,,,,,0.00
311,,,,0.00,,,,,,,,,,,0.00
312,,,,0.00,,,,,,,,,,,0.00
313,,,,0.00,,,,,,,,,,,0.00
314,,,,0.00,,,,,,,,,,,0.00
315,,,,0.00,,,,,,,,,,,0.00
316,,,,0.00,,,,,,,,,,,0.00
317,,,,0.00,,,,,,,,,,,0.00
318,,,,0.00,,,,,,,,,,,0.00
319,,,,0.00,,,,,,,,,,,0.00
320,,,,0.00,,,,,,,,,,,0.00
321,,,,0.00,,,,,,,,,,,0.00
322,,,,0.00,,,,,,,,,,,0.00
323,,,,0.00,,,,,,,,,,,0.00
324,,,,0.00,,,,,,,,,,,0.00
325,,,,0.00,,,,,,,,,,,0.00
326,,,,0.00,,,,,,,,,,,0.00
327,,,,0.00,,,,,,,,,,,0.00
328,,,,0.00,,,,,,,,,,,0.00
329,,,,0.00,,,,,,,,,,,0.00
330,,,,0.00,,,,,,,,,,,0.00
331,,,,0.00,,,,,,,,,,,0.00
332,,,,0.00,,,,,,,,,,,0.00
333,,,,0.00,,,,,,,,,,,0.00
334,,,,0.00,,,,,,,,,,,0.00
335,,,,0.00,,,,,,,,,,,0.00
336,,,,0.00,,,,,,,,,,,0.00
337,,,,0.00,,,,,,,,,,,0.00
338,,,,0.00,,,,,,,,,,,0.00
339,,,,0.00,,,,,,,,,,,0.00
340,,,,0.00,,,,,,,,,,,0.00
341,,,,0.00,,,,,,,,,,,0.00
342,,,,0.00,,,,,,,,,,,0.00
343,,,,0.00,,,,,,,,,,,0.00
344,,,,0.00,,,,,,,,,,,0.00
345,,,,0.00,,,,,,,,,,,0.00
346,,,,0.00,,,,,,,,,,,0.00
347,,,,0.00,,,,,,,,,,,0.00
348,,,,0.00,,,,,,,,,,,0.00
349,,,,0.00,,,,,,,,,,,0.00
350,,,,0.00,,,,,,,,,,,0.00
351,,,,0.00,,,,,,,,,,,0.00
352,,,,0.00,,,,,,,,,,,0.00
353,,,,0.00,,,,,,,,,,,0.00
354,,,,0.00,,,,,,,,,,,0.00
355,,,,0.00,,,,,,,,,,,0.00
356,,,,0.00,,,,,,,,,,,0.00
357,,,,0.00,,,,,,,,,,,0.00
358,,,,0.00,,,,,,,,,,,0.00
359,,,,0.00,,,,,,,,,,,0.00
360,,,,0.00,,,,,,,,,,,0.00
361,,,,0.00,,,,,,,,,,,0.00
362,,,,0.00,,,,,,,,,,,0.00
363,,,,0.00,,,,,,,,,,,0.00
364,,,,0.00,,,,,,,,,,,0.00
365,,,,0.00,,,,,,,,,,,0.00
366,,,,0.00,,,,,,,,,,,0.00
367,,,,0.00,,,,,,,,,,,0.00
368,,,,0.00,,,,,,,,,,,0.00
369,,,,0.00,,,,,,,,,,,0.00
370,,,,0.00,,,,,,,,,,,0.00
371,,,,0.00,,,,,,,,,,,0.00
372,,,,0.00,,,,,,,,,,,0.00
373,,,,0.00,,,,,,,,,,,0.00
374,,,,0.00,,,,,,,,,,,0.00
375,,,,0.00,,,,,,,,,,,0.00
376,,,,0.00,,,,,,,,,,,0.00
377,,,,0.00,,,,,,,,,,,0.00
378,,,,0.00,,,,,,,,,,,0.00
379,,,,0.00,,,,,,,,,,,0.00
380,,,,0.00,,,,,,,,,,,0.00
381,,,,0.00,,,,,,,,,,,0.00
382,,,,0.00,,,,,,,,,,,0.00
383,,,,0.00,,,,,,,,,,,0.00
384,,,,0.00,,,,,,,,,,,0.00
